PDB_Name,PDB_ID,Max_PDB_TM,RMSD,TM_Score,Length
length_335_7_8,7uek.cif.gz_A,0.6706,3.65571716659733,0.8016321321058985,335
length_495_9_24,2ksy.cif.gz_MODEL_3_A,0.6285,8.208000769343785,0.6546405756892896,495
length_305_5_62,3kip.cif.gz_I,0.6641,1.2006915244683738,0.9569975532273868,305
length_240_0_58,6wvs.cif.gz_A,0.8419,0.6819661411641508,0.9800635259763408,240
length_275_6_47,4xg9.cif.gz_A,0.9723,0.6454940565166302,0.9849502471679042,275
length_145_1_76,6e5c.cif.gz_MODEL_5_A,0.6955,1.207079752578965,0.9185449013709656,145
length_305_0_11,3fni.cif.gz_A,0.5797,2.202513231367923,0.9005307688835348,305
length_390_9_65,7jh6.cif.gz_A,0.7505,4.5088505470283256,0.8149800348110862,390
length_450_8_81,5cwf.cif.gz_D,0.6007,9.030898507044745,0.6300218236127908,450
length_455_1_72,6xr2.cif.gz_B,0.6602,12.115559078289188,0.6054664296795162,455
length_240_6_14,6lth.cif.gz_L,0.7357,1.9359459350603336,0.8968752200467665,240
length_130_7_44,1gbo.cif.gz_A,0.9899,0.474136613934786,0.9848855022031444,130
length_110_0_53,5uiy.cif.gz_D,0.971,0.451982469878575,0.9824888640350014,110
length_310_2_21,2rbg.cif.gz_B,0.6876,3.369093846580717,0.8071264203628751,310
length_230_6_49,5lsc.cif.gz_A,0.9326,0.9787271557369056,0.9583742574249532,230
length_140_6_88,7a0g.cif.gz_FFF,0.6891,0.6019764091726666,0.975467455612908,140
length_280_3_88,3pj1.cif.gz_A,0.9498,0.9493052253191936,0.9679227226161096,280
length_320_5_26,3jr2.cif.gz_A,0.777,1.2030247729610517,0.959212960691546,320
length_380_3_37,6xz3.cif.gz_A,0.6649,11.180220786899511,0.6467341511026082,380
length_270_4_67,3qgw.cif.gz_B,0.9604,0.91319930542064,0.9697389082395704,270
length_150_8_95,2jcp.cif.gz_A,0.9797,0.6003240400845654,0.9785837399514238,150
length_495_8_18,7kka.cif.gz_B,0.6812,7.88126747041511,0.6257418167077865,495
length_385_6_67,6e9x.cif.gz_C,0.6118,2.2706865747038014,0.897765412207487,385
length_430_4_90,7snb.cif.gz_A,0.5756,4.0521475495601385,0.8491662357053813,430
length_305_1_80,4dyu.cif.gz_K,0.6327,5.316756691116707,0.7334638386771795,305
length_170_5_38,5uqw.cif.gz_B,0.9903,0.5762520698629885,0.9816533144546084,170
length_355_9_51,1nsj.cif.gz_A,0.7655,1.4993620127759717,0.93880563257986,355
length_135_0_42,7yf1.cif.gz_A,0.9506,0.7021677156644057,0.9650122026749044,135
length_185_1_33,4lda.cif.gz_G,0.6977,0.7231432649674173,0.9762578204460038,185
length_315_5_27,4l85.cif.gz_A,0.7658,3.401916790743503,0.8246635596672772,315
length_105_0_35,5or8.cif.gz_A,0.9828,0.462539319058243,0.9814775833798268,105
length_170_4_44,2mx8.cif.gz_MODEL_9_A,0.5962,2.051883277023756,0.8566272601234001,170
length_180_0_94,2amm.cif.gz_X,0.949,0.9364051931486738,0.955857055380426,180
length_250_8_49,3wa5.cif.gz_B,0.615,1.7111170349525435,0.9126955648578708,250
length_365_7_93,7smj.cif.gz_A,0.8121,2.334416276650068,0.8881102389472657,365
length_375_3_33,1sfl.cif.gz_B,0.6748,1.649884966144136,0.9325777027924824,375
length_250_1_99,3r7n.cif.gz_A,0.6493,2.2799532456420613,0.8762842601886278,250
length_170_1_62,6ms9.cif.gz_C,0.9784,0.5821291635090312,0.9819206915775855,170
length_100_2_55,6h81.cif.gz_A,0.6337,1.0410925297460825,0.9140087408485884,100
length_195_1_63,2kd2.cif.gz_MODEL_14_A,0.5474,10.408317891680158,0.5065097737970801,195
length_420_5_6,1nog.cif.gz_A,0.5798,10.788941642251006,0.5042678688859735,420
length_185_0_48,6meb.cif.gz_B,0.7985,1.3405181625347582,0.9149787993866292,185
