Name,RMSD,TM_Score
length_100_9_40,0.5555364569931034,0.9718436128113592
length_100_8_37,0.742861016360898,0.9541056883050076
length_100_7_100,0.7395163151243819,0.9521142246475692
length_100_5_35,0.7786349994122834,0.9451929869358492
length_100_2_46,0.8885607189976333,0.934694725892846
length_100_6_87,0.8487488781720767,0.9333761860477816
length_100_4_86,0.989053066811547,0.9192100447315096
length_100_0_8,1.374624447500821,0.8670159738747506
length_100_3_32,1.415717313544136,0.8605837281412674
length_100_1_15,2.961359483003036,0.7553329858274
length_105_9_27,0.5722043937947056,0.9727094005041672
length_105_3_6,0.5747367250832468,0.968658393263557
length_105_7_8,0.6747873052539787,0.9632051306984636
length_105_1_38,0.657397359946854,0.9598599691500264
length_105_8_87,0.6860683534505411,0.9591703975579466
length_105_4_71,0.7119208826614202,0.9551139826318192
length_105_2_55,0.7655375725275176,0.9489556985694024
length_105_6_26,0.8483301385506699,0.9381484830393664
length_105_5_81,1.3937016189672715,0.8710723502577635
length_105_0_95,3.7133373429848455,0.6275749704056545
length_110_1_88,0.3967784054339506,0.9860551882584416
length_110_9_37,0.4370017313262286,0.9837195748794064
length_110_0_99,0.5507279017795879,0.973534423441734
length_110_5_35,0.5766704813177992,0.9718784443881524
length_110_8_38,0.6720362394849241,0.9639016071681478
length_110_3_71,0.7101475534668067,0.96030897421521
length_110_4_61,0.6876118941351502,0.9598034762069348
length_110_6_25,0.6933531188456633,0.9583177670963882
length_110_2_61,0.8670219533055035,0.936347295135648
length_110_7_29,0.9579090280705902,0.9342742563613332
length_115_3_77,0.5933588549036902,0.9739874746708944
length_115_7_5,0.6280704632035431,0.9684294717536742
length_115_1_49,0.8042696274345204,0.9538005788216024
length_115_6_63,0.9696284905728272,0.935869084185974
length_115_5_80,0.9558765155011988,0.935204554106084
length_115_4_63,1.0272302137549174,0.9345975185966036
length_115_8_63,1.0244301332823924,0.9342185982845236
length_115_9_94,1.000102595113494,0.9256540004786736
length_115_0_61,2.638583562046605,0.7470592724368096
length_115_2_1,4.491367031937799,0.6266889533906236
length_120_6_43,0.5673372532958685,0.9763872171092182
length_120_9_94,0.5750691783398106,0.9723410669324918
length_120_4_94,0.7205031331009022,0.9657772201219472
length_120_5_87,0.6850521832842617,0.9651192417245232
length_120_8_16,0.7036897591713412,0.962809113079106
length_120_7_92,0.7337589367113437,0.9547761950919346
length_120_2_46,0.8424007182758992,0.9481462489370688
length_120_3_32,1.400841457123447,0.8856537532905931
length_120_0_47,1.7046482836350658,0.8422244844775879
length_120_1_13,2.52985265282356,0.8249563921202028
length_125_5_54,0.670789431874106,0.9702682240339268
length_125_8_81,0.6208455597653055,0.9697545618930814
length_125_2_78,0.6569445169053757,0.9681726087018802
length_125_7_38,0.7493547247924741,0.9574844832590684
length_125_3_57,0.7795650834163139,0.953279148306049
length_125_9_28,0.8727508193339341,0.9525886942435082
length_125_0_33,0.9057909859343104,0.946270311493579
length_125_4_45,0.9010456650885096,0.945118634381788
length_125_6_67,0.9265454758786598,0.9372765095455712
length_125_1_74,1.0422746735998574,0.9269002360105616
